Time,Temperature,Feels Like,Humidity,Pressure,Pressure Trend,Rain Today,Rain Rate,Rain Last 24 Hr,Wind Speed,Wind Gust,Wind Direction,Dew Point
2026-06-02 22:13:29.389392,75.6,74.9,43.9,,,0,0,0,2.84,2.84,22,52.1
2026-06-02 22:13:29.390491,75.6,74.9,43.9,30.249,-0.004,0,0,0,2.84,2.84,22,52.1
2026-06-02 22:13:29.391417,75.6,74.9,43.9,30.249,-0.004,0,0,0,2.84,2.84,22,52.1
2026-06-03 15:57:56.920645,,,,,,,0,,,0,,
2026-06-03 15:57:56.923407,74.2,73.4,44,,,0,0,0,2.04,2.04,115,50.9
2026-06-03 15:57:56.924695,74.2,73.4,44,30.25,-0.002,0,0,0,2.04,2.04,115,50.9
2026-06-03 15:57:56.925798,74.2,73.4,44,30.25,-0.002,0,0,0,2.04,2.04,115,50.9
2026-06-03 23:15:26.062438,,,,,,,0,,,0,,
2026-06-03 23:15:26.065188,74.2,73.4,44,,,0,0,0,2.04,2.04,115,50.9
2026-06-03 23:15:26.066442,74.2,73.4,44,30.25,-0.002,0,0,0,2.04,2.04,115,50.9
2026-06-03 23:15:26.067506,74.2,73.4,44,30.25,-0.002,0,0,0,2.04,2.04,115,50.9
2026-06-04 10:51:44.121290,,,,,,,0,,,0,,
2026-06-04 10:51:44.124102,74.2,73.4,44,,,0,0,0,2.04,2.04,115,50.9
2026-06-04 10:51:44.125258,74.2,73.4,44,30.25,-0.002,0,0,0,2.04,2.04,115,50.9
2026-06-04 10:51:44.126210,74.2,73.4,44,30.25,-0.002,0,0,0,2.04,2.04,115,50.9
2026-06-04 18:36:51.937205,,,,,,,0,,,0,,
2026-06-04 18:36:51.939461,85.8,84.1,34,,,0,0,0,2.15,2.15,261,54.2
2026-06-04 18:36:51.940304,85.8,84.1,34,30.266,,0,0,0,2.15,2.15,261,54.2
2026-06-04 18:36:51.941070,85.8,84.1,34,30.266,,0,0,0,2.15,2.15,261,54.2
2026-06-04 22:57:36.507184,,,,,,,0,,,0,,
2026-06-04 22:57:36.509561,85,83.4,34.8,,,0,0,0,0.09,0.09,267,54.1
2026-06-04 22:57:36.510424,85,83.4,34.8,30.188,-0.045,0,0,0,0.09,0.09,267,54.1
2026-06-04 22:57:36.511135,85,83.4,34.8,30.188,-0.045,0,0,0,0.09,0.09,267,54.1
2026-06-05 11:39:41.853395,,,,,,,0,,,0,,
2026-06-05 11:39:41.855987,56.9,57.2,94.6,,,0,0,0,0,0,0,55.4
2026-06-05 11:39:41.857134,56.9,57.2,94.6,30.225,0.023,0,0,0,0,0,0,55.4
2026-06-05 11:39:41.858045,56.9,57.2,94.6,30.225,0.023,0,0,0,0,0,0,55.4
2026-06-05 18:26:31.725844,,,,,,,0,,,0,,
2026-06-05 18:26:31.728520,89.5,89.2,36.5,,,0,0,0,2,2,61,59.4
2026-06-05 18:26:31.729578,89.5,89.2,36.5,30.173,-0.045,0,0,0,2,2,61,59.4
2026-06-05 18:26:31.730488,89.5,89.2,36.5,30.173,-0.045,0,0,0,2,2,61,59.4
2026-06-05 22:44:52.228241,,,,,,,0,,,0,,
2026-06-05 22:44:52.230344,88.2,87,34.2,,,0,0,0,0.37,0.37,70,56.5
2026-06-05 22:44:52.231508,88.2,87,34.2,30.119,-0.045,0,0,0,0.37,0.37,70,56.5
2026-06-05 22:44:52.232542,88.2,87,34.2,30.119,-0.045,0,0,0,0.37,0.37,70,56.5
2026-06-06 08:16:10.058430,,,,,,,0,,,0,,
2026-06-06 08:16:10.061179,61.3,61.6,87.1,,,0,0,0,0,0,0,57.4
2026-06-06 08:16:10.062254,61.3,61.6,87.1,30.115,-0.022,0,0,0,0,0,0,57.4
2026-06-06 08:16:10.063147,61.3,61.6,87.1,30.115,-0.022,0,0,0,0,0,0,57.4
2026-06-06 12:16:49.337072,,,,,,,0,,,0,,
2026-06-06 12:16:49.339928,67.1,68.3,84,,,0,0,0,0.57,0.57,263,62.1
2026-06-06 12:16:49.341293,67.1,68.3,84,30.172,0.046,0,0,0,0.57,0.57,263,62.1
2026-06-06 12:16:49.342430,67.1,68.3,84,30.172,0.046,0,0,0,0.57,0.57,263,62.1
2026-06-06 16:19:33.314796,,,,,,,0,,,0,,
2026-06-06 16:19:33.317521,85.8,88.8,53.6,,,0,0,0,2.12,2.12,133,67
2026-06-06 16:19:33.318689,85.8,88.8,53.6,30.143,-0.035,0,0,0,2.12,2.12,133,67
2026-06-06 16:19:33.319668,85.8,88.8,53.6,30.143,-0.035,0,0,0,2.12,2.12,133,67
2026-06-06 20:42:04.588779,,,,,,,0,,,0,,
2026-06-06 20:42:04.591525,91.4,92.6,38.5,,,0,0,0,2.29,2.29,257,62.6
2026-06-06 20:42:04.592604,91.4,92.6,38.5,30.077,-0.045,0,0,0,2.29,2.29,257,62.6
2026-06-06 20:42:04.593510,91.4,92.6,38.5,30.077,-0.045,0,0,0,2.29,2.29,257,62.6
2026-06-07 08:36:46.960381,,,,,,,0,,,0,,
2026-06-07 08:36:46.963143,64.5,65.4,88.5,,,0,0,0,0,0,0,61
2026-06-07 08:36:46.964087,64.5,65.4,88.5,30.062,-0.01,0,0,0,0,0,0,61
2026-06-07 08:36:46.964908,64.5,65.4,88.5,30.062,-0.01,0,0,0,0,0,0,61
2026-06-07 15:08:05.059339,,,,,,,0,,,0,,
2026-06-07 15:08:05.062042,87.2,90.1,50.4,,,0,0,0,2.24,2.24,272,66.5
2026-06-07 15:08:05.063189,87.2,90.1,50.4,30.093,-0.002,0,0,0,2.24,2.24,272,66.5
2026-06-07 15:08:05.064195,87.2,90.1,50.4,30.093,-0.002,0,0,0,2.24,2.24,272,66.5
2026-06-07 19:59:52.401939,,,,,,,0,,,0,,
2026-06-07 19:59:52.404797,93,95.6,39.8,,,0,0,0,2.6,2.6,72,65
2026-06-07 19:59:52.405932,93,95.6,39.8,30.036,-0.048,0,0,0,2.6,2.6,72,65
2026-06-07 19:59:52.406865,93,95.6,39.8,30.036,-0.048,0,0,0,2.6,2.6,72,65
2026-06-07 23:44:45.161060,,,,,,,0,,,0,,
2026-06-07 23:44:45.163301,85.3,87.3,51,,,0,0,0,0.21,0.21,292,65.1
2026-06-07 23:44:45.164424,85.3,87.3,51,30.031,-0.004,0,0,0,0.21,0.21,292,65.1
2026-06-07 23:44:45.165459,85.3,87.3,51,30.031,-0.004,0,0,0,0.21,0.21,292,65.1
2026-06-08 14:39:47.741259,,,,,,,0,,,0,,
2026-06-08 14:39:47.743925,83,87.1,64.7,,,0,0,0,1.91,1.91,288,69.9
2026-06-08 14:39:47.745144,83,87.1,64.7,30.216,0.045,0,0,0,1.91,1.91,288,69.9
2026-06-08 14:39:47.746140,83,87.1,64.7,30.216,0.045,0,0,0,1.91,1.91,288,69.9
2026-06-08 21:25:41.958956,,,,,,,0,,,0,,
2026-06-08 21:25:41.961672,89.3,95.4,54.2,,,0,0,0,2.27,2.27,300,70.6
2026-06-08 21:25:41.962784,89.3,95.4,54.2,30.176,-0.031,0,0,0,2.27,2.27,300,70.6
2026-06-08 21:25:41.963747,89.3,95.4,54.2,30.176,-0.031,0,0,0,2.27,2.27,300,70.6
2026-06-09 10:43:26.873580,,,,,,,0,,,0,,
2026-06-09 10:43:26.876099,71.7,72.7,74.5,,,0,0,0.04,1.25,1.25,29,63.2
2026-06-09 10:43:26.877284,71.7,72.7,74.5,30.331,0.039,0,0,0.04,1.25,1.25,29,63.2
2026-06-09 10:43:26.878242,71.7,72.7,74.5,30.331,0.039,0,0,0.04,1.25,1.25,29,63.2
2026-06-09 18:29:36.029543,,,,,,,0,,,0,,
2026-06-09 18:29:36.031900,81.1,84.8,68.8,,,0,0,0.04,2.93,2.93,68,69.9
2026-06-09 18:29:36.032753,81.1,84.8,68.8,30.292,-0.04,0,0,0.04,2.93,2.93,68,69.9
2026-06-09 18:29:36.033462,81.1,84.8,68.8,30.292,-0.04,0,0,0.04,2.93,2.93,68,69.9
2026-06-09 23:05:32.971524,,,,,,,0,,,0,,
2026-06-09 23:05:32.974544,78.6,81.9,76.9,,,0,0,0.04,0.59,0.59,124,70.7
2026-06-09 23:05:32.975889,78.6,81.9,76.9,30.206,-0.072,0,0,0.04,0.59,0.59,124,70.7
2026-06-09 23:05:32.977014,78.6,81.9,76.9,30.206,-0.072,0,0,0.04,0.59,0.59,124,70.7
2026-06-10 11:56:13.137215,,,,,,,0,,,0,,
2026-06-10 11:56:13.140118,70.8,73.3,94.1,,,0.01,0.01,0.01,0.06,0.06,309,69
2026-06-10 11:56:13.141161,70.8,73.3,94.1,30.172,0.022,0.01,0.01,0.01,0.06,0.06,309,69
2026-06-10 11:56:13.141956,70.8,73.3,94.1,30.172,0.022,0.01,0.01,0.01,0.06,0.06,309,69
2026-06-10 21:23:10.209408,,,,,,,0,,,0,,
2026-06-10 21:23:10.211726,89.1,98.6,61.6,,,0.01,0,0.01,1.55,1.55,179,74.2
2026-06-10 21:23:10.212854,89.1,98.6,61.6,30.036,-0.078,0.01,0,0.01,1.55,1.55,179,74.2
